institution_id,raw_school_text,suggested_institution_name,wikidata_id,wikipedia_url,country,locality,latitude,longitude,institution_type,confidence,notes,historical_match_name,historical_acara_id,historical_source,review_status,resolved_school_name,resolved_acara_id,resolved_wikidata_id,resolved_country,resolved_state,resolved_suburb,resolved_postcode,resolved_address,resolved_latitude,resolved_longitude,manual_source_url,address_source_url,review_notes
inst-unmatched-prendiville-ladies-college,Prendiville Ladies College,"Santa Maria College, Perth",Q7419678,https://en.wikipedia.org/wiki/Santa_Maria_College%2C_Perth,Australia,City of Melville,-32.019,115.797,girls' school,suggested,"Derived from Wikipedia/Wikidata page Santa Maria College, Perth (Q7419678)",Beldon Primary School,48674,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-princess-hill-high-school,Princess Hill High School,Empress Masako,Q230433,https://en.wikipedia.org/wiki/Empress_Masako,,,,,,suggested,Derived from Wikipedia/Wikidata page Empress Masako (Q230433),Southern Autistic School,45115,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-rockhampton-grammar-school,Rockhampton Grammar School,Rockhampton Grammar School,Q7355277,https://en.wikipedia.org/wiki/Rockhampton_Grammar_School,Australia,Queensland,-23.38468056,150.49386944,school,suggested,Derived from Wikipedia/Wikidata page Rockhampton Grammar School (Q7355277),Redlands College,48092,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-rosny-college-hobart,Rosny College (Hobart),Rosny College,Q7369094,https://en.wikipedia.org/wiki/Rosny_College,,,-42.8693,147.3644,,suggested,Derived from Wikipedia/Wikidata page Rosny College (Q7369094),Rosny College,40445,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-sacred-heart-high-school,Sacred Heart High School,Sacred Heart High School,Q7397198,https://en.wikipedia.org/wiki/Sacred_Heart_High_School,,,,,,suggested,Derived from Wikipedia/Wikidata page Sacred Heart High School (Q7397198),St Columba's School,45763,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-salesian-college-chadstone-victoria,"Salesian College, Chadstone, Victoria",Salesian College (Chadstone),Q7404335,https://en.wikipedia.org/wiki/Salesian_College_%28Chadstone%29,Australia,Victoria,-37.88222222,145.10027778,nonprofit organization,suggested,Derived from Wikipedia/Wikidata page Salesian College (Chadstone) (Q7404335),Salesian College Chadstone,45870,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-shepparton-high-school,Shepparton High School,Shepparton High School,Q7494545,https://en.wikipedia.org/wiki/Shepparton_High_School,Australia,Victoria,-36.37194444,145.41541667,high school,suggested,Derived from Wikipedia/Wikidata page Shepparton High School (Q7494545),Greater Shepparton Secondary College,53105,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-sorell-high-school,Sorell High School,Sorell School,Q29325288,https://en.wikipedia.org/wiki/Sorell_School,Australia,Tasmania,-42.786,147.5612,high school,suggested,Derived from Wikipedia/Wikidata page Sorell School (Q29325288),Taroona Primary School,40108,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-st-brigid-s-ladies-college,St Brigid's Ladies College,St Brigid's College,Q7592727,https://en.wikipedia.org/wiki/St_Brigid%27s_College,,,-31.996,116.0515,,suggested,Derived from Wikipedia/Wikidata page St Brigid's College (Q7592727),Marri Grove Primary School,48722,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-st-clare-s-college-act,St Clare's College (ACT),"St Clare's College, Canberra",Q7592815,https://en.wikipedia.org/wiki/St_Clare%27s_College%2C_Canberra,,,-35.3236,149.1468,,suggested,"Derived from Wikipedia/Wikidata page St Clare's College, Canberra (Q7592815)",St Clare's College,49968,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
