parliament_number,member_id,member_display_name,raw_school_text,source_url,is_international,suggested_action,notes
48,aph-144732,"PAYNE, Alicia Emma",Kambah High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '144732',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-kambah-high-school
46,aph-144732,"PAYNE, Alicia Emma",Kambah High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '144732',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-kambah-high-school
47,aph-144732,"PAYNE, Alicia Emma",Kambah High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '144732',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-kambah-high-school
46,aph-m56,"PAYNE, the Hon. Marise Ann",MLC,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'M56',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mlc
47,aph-m56,"PAYNE, the Hon. Marise Ann",MLC,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'M56',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mlc
48,aph-248895,"PENFOLD, Alison Louise",St Clare's High School Taree,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '248895',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-st-clare-s-high-school-taree
48,aph-83m,"PLIBERSEK, the Hon. Tanya Joan",Jannali Girls High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '83M',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-jannali-girls-high-school
46,aph-83m,"PLIBERSEK, the Hon. Tanya Joan",Jannali Girls High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '83M',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-jannali-girls-high-school
47,aph-83m,"PLIBERSEK, the Hon. Tanya Joan",Jannali Girls High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '83M',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-jannali-girls-high-school
48,aph-bfq,"POCOCK, Dr Barbara Ann AM",Lameroo Area School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'BFQ',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-lameroo-area-school
47,aph-bfq,"POCOCK, Dr Barbara Ann AM",Lameroo Area School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'BFQ',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-lameroo-area-school
